Frequency,Amplitude,Pitches,Angles,Side Bias,Mood,Image Url,Timestamps
0.0,39.8690851268521,"[77.31581494108356, 31.138400301604833, -14.595962635984359, -15.19274437492908, -15.39207657566527, 62.4486692884129, 48.96817525868352, -50.9094675115125, -68.95674136091644, -39.666430873841804, 83.66146760163818, 88.68749204295408, -39.78161053184025, -67.9723297418466, -36.464805858812205, -61.065498827988165, -62.504812303412194, -38.69900141417416, -7.981823895160507, -75.75561714946605, 76.31393259023659, 2.6907901162366303, -0.11591536628824388, -84.31042391070196, -35.55129535285397, 77.89693784235826, 61.19982862435315, -9.985097339954907, -41.768947854076046, 14.706226673646862, -50.84154290713559, 26.72771995788693, -75.95085278164076, -39.4113843551377, -68.97584824740541, 43.93032413844835, 54.86117978475954, -9.366404013017737, -76.0020331759394, 19.590800005646912, 89.266456226053, 67.37087669308623, -60.00337194197359, -54.08737400471197, -82.36506759948381, 57.217277223933685, 77.69069867646407, -86.63692741871263, -73.60708524641609, 80.23097577153794, 66.14718119387764, 54.49474261689518, 27.853183419836565, -18.029298168589587, 68.84065256468575, -50.975814745244705, -54.44741434230975, -10.964688238615846, -70.56121005120244, -23.766114210202343, -52.80406540436614, -64.24057726523182, -24.637286975684145, -34.90411879190122, -30.482484431357705, -1.0933816479654674, 20.59154692477713, -68.84443768915914, -72.71103446841285, -64.61839231119488, 35.63587012138515, -56.29649325209073, 36.96523642807529, -81.90707475216414, 41.252089889157155, 69.5457929346918, -77.90727904930297, 69.6563818443639, 67.03802979484409, 82.53017478730862, 4.3726081185670225, 17.142481740117024, 62.31872208133723, 28.774854657730316, -20.635187386687075, -25.557233407866025, -21.691798963744393, 86.34905429326642, 58.605883855742356, -74.66901480454375, -51.05339551009998, -87.45132255647317, 57.60007252011519, -42.53536878361079, 26.29153657311024, 27.904232959382004, 79.06918578389569, -58.43635209220207, -78.57475135801626, -65.52883363160818, 58.411355918785134, -48.43694441279916, 66.31058240002862, -27.131346735022966, 64.02918436483374, -17.234738137867286, -31.19232284310944, -2.4059345740854514]","[4.614284105847589, 60.045275225282666, 18.66089102205486, 15.667962718792149, 9.469920792784214, 68.93811627888775, 68.36977739490268, 2.246260413090594, 50.0421035177206, 0.7599319388273263, 11.293530440707459, 23.489864753268392, 25.532796230405573, 31.487137709559146, 10.462400122889711, 9.101881130791837, 44.04803286959257, 39.071984977269146, 26.742025872506925, 38.9014310831299, 50.68557964336536, 52.761354677888484, 42.814357180974426, 61.34800134084091, 16.55760609527257, 28.30381220824972, 51.22801321587485, 77.43976438303424, 48.49205195200156, 64.6314590224186, 75.38799365944091, 73.72068130924988, 71.08458281355848, 60.15455012123711, 57.93842498175885, 45.28472195099943, 36.32713539210071, 61.96934727185259, 13.710962835630495, 20.605438939806344, 2.152972434707884, 41.899537089591675, 82.0745876143343, 35.93135571062981, 4.2764164236917, 3.0391510765089365, 11.302950542295127, 14.960081703694218, 37.3414133834915, 2.598434462761417, 47.88078573419808, 32.11522739787389, 34.95697950657947, 61.51139343587325, 31.909178086280185, 7.829492206341684, 3.122349260233764, 45.55053429449447, 46.96402275824972, 75.15964569983697, 57.64409439236271, 34.77017265620897, 35.88307897567496, 28.050214032896143, 13.970136113190476, 5.7507101269743375, 33.92928158724713, 36.239528035973734, 19.395103219524575, 6.545598935346389, 39.667255364498935, 6.7288733401069445, 13.546256437333902, 6.818450496101055, 42.406433690448125, 26.869295400277746, 29.003741404569332, 44.3440507758521, 40.018187976919585, 84.59686110050478, 14.94694655550239, 37.1971416794789, 13.358458642003868, 45.696480511551904, 10.087151820059876, 23.555837700376898, 17.57370859327514, 7.990525280700836, 12.074658352006262, 38.73960918695267, 21.698494993073375, 46.26800728627336, 7.487682026600908, 55.53396128913004, 9.890158830443385, 40.085761951051055, 5.017519450094748, 27.161041135952992, 32.89530232594113, 75.18001736198008, 34.296742998118624, 32.299767170063674, 2.8268979390927833, 34.93727286866261, 47.099494738792195, 51.01936242684152, 32.73046983046024, 40.70571996490211]",0.12532608859792538,excited,,"[1650138015.7502296, 1650138015.8436048, 1650138015.93698, 1650138016.0303552, 1650138016.1237304, 1650138016.2171056, 1650138016.3104808, 1650138016.403856, 1650138016.4972312, 1650138016.5906065, 1650138016.6839817, 1650138016.7773569, 1650138016.870732, 1650138016.9641073, 1650138017.0574822, 1650138017.1508574, 1650138017.2442327, 1650138017.3376079, 1650138017.430983, 1650138017.5243583, 1650138017.6177335, 1650138017.7111087, 1650138017.804484, 1650138017.897859, 1650138017.9912343, 1650138018.0846095, 1650138018.1779847, 1650138018.27136, 1650138018.3647351, 1650138018.4581103, 1650138018.5514855, 1650138018.6448607, 1650138018.738236, 1650138018.8316112, 1650138018.9249864, 1650138019.0183616, 1650138019.1117368, 1650138019.205112, 1650138019.2984872, 1650138019.3918624, 1650138019.4852376, 1650138019.5786126, 1650138019.6719878, 1650138019.765363, 1650138019.8587382, 1650138019.9521134, 1650138020.0454886, 1650138020.1388638, 1650138020.232239, 1650138020.3256142, 1650138020.4189894, 1650138020.5123646, 1650138020.6057398, 1650138020.699115, 1650138020.7924902, 1650138020.8858654, 1650138020.9792407, 1650138021.0726159, 1650138021.165991, 1650138021.2593663, 1650138021.3527415, 1650138021.4461167, 1650138021.539492, 1650138021.632867, 1650138021.7262423, 1650138021.8196175, 1650138021.9129927, 1650138022.0063677, 1650138022.099743, 1650138022.193118, 1650138022.2864933, 1650138022.3798685, 1650138022.4732437, 1650138022.566619, 1650138022.6599941, 1650138022.7533693, 1650138022.8467445, 1650138022.9401197, 1650138023.033495, 1650138023.1268702, 1650138023.2202454, 1650138023.3136206, 1650138023.4069958, 1650138023.500371, 1650138023.5937462, 1650138023.6871214, 1650138023.7804966, 1650138023.8738718, 1650138023.967247, 1650138024.0606222, 1650138024.1539974, 1650138024.2473726, 1650138024.3407478, 1650138024.434123, 1650138024.527498, 1650138024.6208732, 1650138024.7142484, 1650138024.8076236, 1650138024.9009988, 1650138024.994374, 1650138025.0877492, 1650138025.1811244, 1650138025.2744997, 1650138025.3678749, 1650138025.46125, 1650138025.5546253, 1650138025.6480005, 1650138025.7413757]"
0.0,39.17455255630949,"[-45.204687185609366, 48.98144236914562, 23.938187790436366, 9.224655917617595, 8.147035002858038, 18.21324665576731, 15.790075895913361, 73.07393478431676, -14.630912909011283, 15.461307076340034, 46.765782799625136, -40.310462986825314, 39.03176280146826, 24.54222134082794, 7.004354636502486, -46.76572064887215, -45.33374247256159, 43.15777042876716, 47.88066027119643, -64.51263881261671, -41.110153565667055, -41.17884075700492, -45.382082225490024, -28.609620405856745, 43.347299147882104, 26.01992182019487, -29.528129869060823, 28.891596709150114, -21.914298009716223, 24.689862955390552, -82.74516212037881, -58.040089508913226, -85.96307366836552, 84.92798933366197, -74.62624968756165, 43.722593264561574, 54.440134697089164, 44.022924062393585, 51.86554895496717, -29.38343182771642, -3.0690244593527223, 51.792022071205274, -60.85200572387699, 60.55357071847686, 55.6625843941641, 60.372885110694035, -60.08570960864664, 88.37767979958281, 0.7438317901552838, -78.43069824231257, -53.628288665109835, -22.14704615452737, -8.914398523637805, 1.0547658808299634, -31.981231097627013, 81.8892642754783, -34.43047960164136, -58.90590139475495, -7.377238848586763, 35.5313738762106, -66.14887493546028, 34.41203685362278, -55.16204728744017, -72.2877974343096, -70.41384166628646, -49.82520147965138, -67.83017245545955, -12.312664817603398, -9.640189778106851, -39.42046658969409, -63.269721634998554, -19.66319234897959, -38.25319924350911, -2.5265460474756183, 1.4420696966588091, -46.035305109284074, -3.127468734445102, -28.831262038995767, 61.98886070440085, 72.58874809100728, -46.93986365144732, -48.787108191246176, -86.72139286869616, 11.149131349259884, -4.544359460178532, 20.6295088991049, 48.11875297911217, -12.98994198293662, -49.43277066194059, 71.85484499977375, -58.98978180618576, -75.60361016925812, 68.05781791342946, -43.53758992765368, -22.97873228364371, 4.166935840273114, -40.693096831140004, -29.865173774543628, 44.066241108208224, -59.754491978731146, -40.83572178025895, 44.02438855528845, -49.1793673565936, -66.04482441677875, -17.225284960815465, 45.18996253824415]","[67.5528473057575, 48.20893335923135, 29.11071355835705, 22.44527582577948, 73.47927462283283, 75.5751475725515, 24.526995846772262, 58.828420243150866, 27.359031019420552, 59.08391886136132, 49.62117926629831, 72.4654292226402, 49.84857916983426, 51.50652045502884, 61.82483592968411, 24.23750016963975, 22.159585380498477, 49.120964233003406, 21.306564731426946, 20.58391793526749, 12.778039259922894, 17.415974596377254, 2.600363337328853, 37.74729699698914, 35.19937626582345, 37.73998269660822, 19.761876635650946, 35.11286545319757, 20.04048333146609, 26.710736323858114, 22.092222868769298, 26.23931470501313, 36.65390557692698, 35.032331186219984, 27.596078809332095, 18.423377742817447, 43.685375599573085, 46.224265601557896, 36.07641070593442, 25.096965053219513, 19.21043808134814, 6.66021364985508, 50.79760378145642, 66.00560372730267, 51.625485570602756, 60.405998794729385, 69.696438293602, 8.197895401927356, 45.4882787250831, 4.03239059504902, 5.58595877465103, 17.10673698868491, 11.187215275371571, 5.905003871855443, 20.33211887468074, 44.088831654231775, 11.015696841117874, 10.71832136086903, 17.191527238843623, 11.998390377834129, 51.568331557002935, 35.36349864020006, 70.30922878611807, 59.14054182146273, 67.0300500228338, 19.824247974715732, 19.2548481678833, 62.91638037707378, 49.21191891461954, 18.078357851710585, 46.74700496185593, 60.9331836692309, 43.868955455047065, 20.549266748634718, 31.856354523669467, 31.38667864495672, 8.691519766690245, 35.36322156096593, 27.365778559280315, 5.274605372431843, 10.77243466197442, 8.209820235298412, 37.77405487529155, 27.22894598937472, 26.53003273535054, 39.500132357223926, 22.0080354296822, 1.1068721122371954, 57.204006825302514, 21.03353546567328, 21.407706940664895, 63.89148723093071, 14.506710859855065, 21.568467220670616, 26.718019201579935, 28.834032913219858, 49.48153096487709, 61.868684327758025, 76.54755070192819, 35.60266931152127, 16.818201868319672, 30.54123512255279, 25.703949875906197, 54.114148985087894, 11.64136505458617, 32.844117103323924]",0.16083452217335212,excited,,"[1650140250.1039636, 1650140250.1984162, 1650140250.2928686, 1650140250.3873212, 1650140250.4817736, 1650140250.5762262, 1650140250.6706789, 1650140250.7651312, 1650140250.8595839, 1650140250.9540362, 1650140251.0484889, 1650140251.1429415, 1650140251.2373939, 1650140251.3318465, 1650140251.426299, 1650140251.5207515, 1650140251.615204, 1650140251.7096565, 1650140251.804109, 1650140251.8985617, 1650140251.993014, 1650140252.0874667, 1650140252.181919, 1650140252.2763717, 1650140252.3708243, 1650140252.4652767, 1650140252.5597293, 1650140252.6541817, 1650140252.7486343, 1650140252.843087, 1650140252.9375393, 1650140253.031992, 1650140253.1264446, 1650140253.220897, 1650140253.3153496, 1650140253.409802, 1650140253.5042546, 1650140253.5987072, 1650140253.6931596, 1650140253.7876122, 1650140253.8820646, 1650140253.9765172, 1650140254.0709698, 1650140254.1654222, 1650140254.2598748, 1650140254.3543272, 1650140254.4487798, 1650140254.5432324, 1650140254.6376848, 1650140254.7321374, 1650140254.8265898, 1650140254.9210424, 1650140255.015495, 1650140255.1099474, 1650140255.2044, 1650140255.2988527, 1650140255.393305, 1650140255.4877577, 1650140255.58221, 1650140255.6766627, 1650140255.7711153, 1650140255.8655677, 1650140255.9600203, 1650140256.0544727, 1650140256.1489253, 1650140256.243378, 1650140256.3378303, 1650140256.432283, 1650140256.5267353, 1650140256.621188, 1650140256.7156405, 1650140256.810093, 1650140256.9045455, 1650140256.998998, 1650140257.0934505, 1650140257.1879032, 1650140257.2823555, 1650140257.3768082, 1650140257.4712608, 1650140257.5657132, 1650140257.6601658, 1650140257.7546182, 1650140257.8490708, 1650140257.9435234, 1650140258.0379758, 1650140258.1324284, 1650140258.2268808, 1650140258.3213334, 1650140258.415786, 1650140258.5102384, 1650140258.604691, 1650140258.6991434, 1650140258.793596, 1650140258.8880486, 1650140258.982501, 1650140259.0769536, 1650140259.1714063, 1650140259.2658587, 1650140259.3603113, 1650140259.4547637, 1650140259.5492163, 1650140259.643669, 1650140259.7381213, 1650140259.832574, 1650140259.9270263, 1650140260.021479]"
0.0,39.311396741270485,"[-12.764999692158026, 51.673423694679585, 61.48046029480334, 28.150136915372407, 18.57348671846655, 63.24558379121753, -39.619841533133965, -42.66543187791663, -77.37803660021954, 17.99005819322865, 54.468748309267966, 33.45896325711072, -75.22026611460787, 87.59087743688337, 65.3912161489676, 54.42106228803302, 55.018601880996805, 29.504918230713375, 72.4171014364993, -68.31781613854342, -79.66067646462085, 52.82974570259243, -72.6056480360017, 31.09871959640296, 44.256540874826186, 39.928591285947284, -86.19593373677688, 50.854632017027036, 50.75460046384978, 43.09230750036597, 88.01467744320462, -77.72034999627546, 87.8291141232251, 40.605238796825034, 16.491245545987475, -83.50639730608651, 81.76308335015048, 51.25362472212343, 30.65340791431008, -87.72948266341514, -61.871252635581534, -57.62966894522054, -74.77095754249122, -76.39225134701749, -85.0690570982428, -60.476014716475824, -57.15550631204474, -68.86588898113666, 58.430482882593836, -19.894913013532893, 48.78004998556943, 77.5210976190862, 6.204044319997262, 30.087853504780867, -69.50902747357884, -79.88040035829502, 28.996727401422355, 33.38354996883835, -34.63048698553928, 4.625398135650945, 31.79871530110672, 55.08616317252624, 41.17635265062249, -7.561561231516784, -30.4220602757454, 72.98607370067677, 25.715996316387567, -80.40474586493181, 66.90900511851403, 81.82083980123416, -70.77355048996087, -34.543028933152385, -10.593448331748641, -23.795156881223832, 16.964800091702504, 18.86932078187399, 79.25622401740169, 86.86233738276479, -54.80741240456977, -65.84610404643729, -49.64274203360823, -59.07916629783225, -60.11336609128887, -71.57389776194913, -59.18835836431024, 40.85493619942099, 83.88378666048919, -50.68342692442432, -67.69225850758205, -57.01022791103859, -87.15071386453906, -67.5351051624593, 51.38345268072975, 14.229044371220922, 76.04700408843456, -27.517708486099878, -48.76004142406397, 6.4548945600440835, -0.8981622390635182, 4.161363558024525, -75.23909223987447, -45.76865974441104, 53.67364176236698, -85.84495159918707, 40.25419100064515, 59.0649317683158, 60.99675770972509]","[1.7116632211051426, 39.550790367274395, 57.09569895205, 34.60029253300416, 0.1449349120586973, 53.011326983732964, 77.4127720772, 51.41365630256582, 71.76430363566143, 14.185092426971396, 31.214468735495288, 46.11602703397759, 17.60300858208707, 30.524884684729578, 15.203548497689493, 6.371606066050597, 9.5957613833028, 2.785196678666656, 28.696802537317073, 3.486763633155024, 18.27416095494301, 3.5304619415534746, 37.272088679387906, 18.76777305068093, 25.178456500840646, 7.0809507711439945, 65.62795570022764, 42.031333657825755, 14.286440156574107, 49.48352047975584, 1.3355336304963188, 17.46483618558652, 18.290394483003446, 47.936913273760986, 13.429714374017749, 42.23761138932553, 47.69719272013714, 54.49943626714299, 29.429344368413332, 38.669159533081555, 47.06013826288463, 47.96675156596599, 16.12729607763454, 3.7997554968359117, 10.566140574708136, 23.953352054787498, 36.2225859335993, 14.412596527309484, 63.05484875276905, 10.33192221132328, 30.115800893585607, 7.471702166356681, 42.75550745758668, 33.70246699465246, 5.092359094877328, 29.87627767186072, 34.892124922752785, 41.22456439613, 53.56276456180982, 36.25078277910662, 44.149128491824904, 62.31139697111689, 12.641346585560111, 25.66006349474189, 18.788433542606118, 50.31687444176041, 58.641445828172095, 17.52289142874893, 73.51316913315209, 64.09584782753817, 47.59601245255498, 40.29580875854791, 31.372273508889684, 55.82045055047359, 66.65803703527855, 75.13552278630318, 2.6687639590032024, 25.37245384278435, 69.82372684559923, 18.934490558571834, 42.72367725121648, 36.572844653300606, 32.610223197365784, 46.141338212230934, 68.28215793254475, 31.834770209932216, 41.29172775840818, 51.914529263893705, 42.565257613523364, 26.65902304499365, 59.23425012836667, 21.636291558979753, 47.760115634737794, 24.246346580198313, 5.878853751201105, 33.467941378193636, 32.179108760842304, 42.51517000511505, 36.06501170020428, 61.113835715903306, 31.71187045506179, 37.125863998376424, 66.2183507900352, 3.93362715170789, 37.395172867906574, 2.7621274423123743, 13.17706670657657]",0.011452101464170555,excited,,"[1650140264.014934, 1650140264.108945, 1650140264.2029555, 1650140264.2969663, 1650140264.3909771, 1650140264.4849877, 1650140264.5789986, 1650140264.6730094, 1650140264.76702, 1650140264.8610308, 1650140264.9550416, 1650140265.0490522, 1650140265.143063, 1650140265.2370737, 1650140265.3310845, 1650140265.4250953, 1650140265.519106, 1650140265.6131167, 1650140265.7071276, 1650140265.8011382, 1650140265.895149, 1650140265.9891598, 1650140266.0831704, 1650140266.1771812, 1650140266.271192, 1650140266.3652027, 1650140266.4592135, 1650140266.5532243, 1650140266.647235, 1650140266.7412457, 1650140266.8352566, 1650140266.9292672, 1650140267.023278, 1650140267.1172886, 1650140267.2112994, 1650140267.3053102, 1650140267.3993208, 1650140267.4933317, 1650140267.5873425, 1650140267.681353, 1650140267.775364, 1650140267.8693748, 1650140267.9633853, 1650140268.0573962, 1650140268.151407, 1650140268.2454176, 1650140268.3394284, 1650140268.4334393, 1650140268.5274498, 1650140268.6214607, 1650140268.7154715, 1650140268.809482, 1650140268.903493, 1650140268.9975038, 1650140269.0915143, 1650140269.1855252, 1650140269.2795358, 1650140269.3735466, 1650140269.4675574, 1650140269.561568, 1650140269.6555789, 1650140269.7495897, 1650140269.8436003, 1650140269.937611, 1650140270.031622, 1650140270.1256325, 1650140270.2196434, 1650140270.3136542, 1650140270.4076648, 1650140270.5016756, 1650140270.5956864, 1650140270.689697, 1650140270.7837079, 1650140270.8777187, 1650140270.9717293, 1650140271.06574, 1650140271.1597507, 1650140271.2537615, 1650140271.3477724, 1650140271.441783, 1650140271.5357938, 1650140271.6298046, 1650140271.7238152, 1650140271.817826, 1650140271.9118369, 1650140272.0058475, 1650140272.0998583, 1650140272.193869, 1650140272.2878797, 1650140272.3818905, 1650140272.4759014, 1650140272.569912, 1650140272.6639228, 1650140272.7579336, 1650140272.8519442, 1650140272.945955, 1650140273.0399656, 1650140273.1339765, 1650140273.2279873, 1650140273.321998, 1650140273.4160087, 1650140273.5100195, 1650140273.6040301, 1650140273.698041, 1650140273.7920518, 1650140273.8860624, 1650140273.9800732]"
0.0,32.193707835039355,"[-21.15487051479199, -38.114337832265484, -19.064902163336843, -2.4908550953128503, -71.23870685720684, -17.356716472385003, -7.507032997554704, -42.568941310084725, -34.23306919918293, -7.8168075852299905, 39.35580534399183, 36.20078486609356, 46.34929381748528, 84.43751781635896, -63.46423705776023, 84.45684146667733, -36.38371817349422, -72.42582645760444, 75.33980204333541, 20.96213279369264, 9.742570776315068, 87.4127337290647, 70.6281645788348, 72.10465238121377, 77.73651443546181, 67.23725946763079, 61.22515951472609, 71.92806611972958, 59.55399906329587, 74.26046591733581, -88.63834352144166, 33.00421120308247, 20.928177722823975, 33.27504227095177, -3.5923153982607148, -10.393286151412585, 46.230167794109846, 62.645272210259805, -88.22278224008144, -44.65322269157544, -53.909823396736535, -25.51738784719571, 66.85619219922347, 50.68084803573344, 58.59004523677356, 82.7775938568534, 59.4671710813828, -47.081903996895754, 57.45410695603931, -86.62657923307714, 72.86283909172029, 1.8983143664140125, 54.730911680729626, 70.43064374627741, 36.028143911260216, 61.173099444813765, 89.03531960827029, 64.41201723626003, -43.20143964238139, -76.2174800240054, -70.92434740630871, -12.788207620621888, -1.9551777213309758, -70.47459346072063, 83.40245499837603, -79.00819300537488, -51.061726231555895, -59.55182492303404, -75.42838662861402, -64.0088551786012, -40.13432020416967, 24.623620806472577, -56.6255776998917, -63.53514684706072, 87.86737773795201, -74.20029165700821, -70.5254670643333, -73.081562048453, -64.46269406519795, -39.069826879496944, 70.72230380215427, 72.65639303050966, 83.677014228307, 57.9775601079957, 80.23504530831273, 84.13855889848287, 55.34601551159952, 64.25968522439008, 69.69275738547911, 76.15109915212095, -73.68266325639773, -24.614803869398823, -87.5703152376642, -70.3447987770092, -73.27110187829348, -46.777036639021, -10.282098825287083, -4.438243856379139, 64.02369651157659, -21.759320107554775, -77.04219491101296, 60.945629023269134, -79.2786610634299, 32.875508856202345, -8.944427464828895, 22.388029621004893, -65.20687273116214]","[69.69723425192127, 36.819005909826004, 22.23918471185954, 44.43027418961579, 6.357602779781504, 19.511925367937263, 28.453559278955378, 31.821386358167658, 59.652724172010366, 3.4055896775171686, 33.743239716652155, 39.98079064513511, 15.73667453075693, 10.429279362082044, 13.489707844811496, 56.51719030871833, 31.524519176565445, 33.34511751247172, 3.385300649002726, 47.55528027585053, 19.736559815124085, 38.747718928115795, 57.32389102477871, 47.01828429803007, 41.99721169673786, 14.651272847496188, 33.877189532398845, 48.22857709148279, 23.17052176146299, 53.226848159873484, 15.08346840339662, 77.22469297984226, 36.88196717615926, 77.2808246562195, 10.548187305296832, 42.953619891185085, 42.46188732100477, 36.08830123021966, 36.72253973456646, 0.4247538158855332, 4.084235169225332, 31.257398096342214, 52.47575373475574, 23.8715851483252, 41.21683782879772, 33.23916527465534, 18.17685128619771, 16.805664394158114, 32.68307597781597, 22.572254412078458, 27.218128608169696, 21.431185423642177, 26.591801508915818, 17.795543402307025, 13.325286697279658, 2.2266944991285427, 13.82865246561521, 25.907939259468037, 15.274583039218681, 0.0021184993971195254, 34.549810403866296, 31.88863534974099, 33.732500424003824, 18.506343065454036, 17.52247026200508, 23.824632679250644, 28.702334028900562, 16.71810885848476, 1.040571943451586, 2.8386748406306093, 39.02277324548995, 80.57844932017912, 13.570312569129731, 6.135796573588126, 1.5067494818342326, 15.168402738935594, 17.232864985751796, 27.526089105872103, 31.77851391995693, 58.707500885659584, 43.980957024642095, 7.929138858101283, 3.9885133979523895, 44.44284165442287, 8.150296865282618, 2.7164125684897615, 6.835443838550961, 43.93136041453406, 4.207044345240933, 4.304234554070261, 37.148813071938214, 5.266951538709118, 26.06575020697394, 2.345721871977449, 4.822643014896798, 26.584004940868443, 39.163643273868644, 46.90918983911822, 31.486131400408905, 25.86460788028831, 15.706065340869408, 17.165381632449254, 13.823554610139169, 29.794068864532637, 21.837667390214687, 1.1583126369199903, 23.404011330681946]",0.03619164097722927,excited,,"[1650140276.160833, 1650140276.254481, 1650140276.3481293, 1650140276.4417775, 1650140276.5354257, 1650140276.6290739, 1650140276.722722, 1650140276.8163702, 1650140276.9100187, 1650140277.0036669, 1650140277.097315, 1650140277.1909633, 1650140277.2846115, 1650140277.3782597, 1650140277.4719079, 1650140277.565556, 1650140277.6592042, 1650140277.7528524, 1650140277.8465006, 1650140277.9401488, 1650140278.033797, 1650140278.1274452, 1650140278.2210934, 1650140278.3147418, 1650140278.40839, 1650140278.5020382, 1650140278.5956864, 1650140278.6893346, 1650140278.7829828, 1650140278.876631, 1650140278.9702792, 1650140279.0639274, 1650140279.1575756, 1650140279.2512238, 1650140279.344872, 1650140279.4385202, 1650140279.5321684, 1650140279.6258166, 1650140279.719465, 1650140279.8131132, 1650140279.9067614, 1650140280.0004096, 1650140280.0940578, 1650140280.187706, 1650140280.2813542, 1650140280.3750024, 1650140280.4686506, 1650140280.5622988, 1650140280.655947, 1650140280.7495952, 1650140280.8432434, 1650140280.9368916, 1650140281.0305398, 1650140281.124188, 1650140281.2178364, 1650140281.3114846, 1650140281.4051328, 1650140281.498781, 1650140281.5924292, 1650140281.6860774, 1650140281.7797256, 1650140281.8733737, 1650140281.967022, 1650140282.0606701, 1650140282.1543183, 1650140282.2479665, 1650140282.3416147, 1650140282.435263, 1650140282.528911, 1650140282.6225595, 1650140282.7162077, 1650140282.809856, 1650140282.9035041, 1650140282.9971523, 1650140283.0908005, 1650140283.1844487, 1650140283.278097, 1650140283.371745, 1650140283.4653933, 1650140283.5590415, 1650140283.6526897, 1650140283.746338, 1650140283.839986, 1650140283.9336343, 1650140284.0272827, 1650140284.120931, 1650140284.214579, 1650140284.3082273, 1650140284.4018755, 1650140284.4955237, 1650140284.589172, 1650140284.68282, 1650140284.7764683, 1650140284.8701165, 1650140284.9637647, 1650140285.0574129, 1650140285.151061, 1650140285.2447093, 1650140285.3383574, 1650140285.432006, 1650140285.525654, 1650140285.6193023, 1650140285.7129505, 1650140285.8065987, 1650140285.9002469, 1650140285.993895, 1650140286.0875432]"
